Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-20,Xigmatek CUBI II Mid-Tower TG EATX Case - Black | EN45486,,350.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-cubi-ii-mid-tower-tg-eatx-case-black-en45486.html
2025-05-20,Xigmatek Vision Arctic Pro Full-Tower EATX Case - White | EN45172,,630.0,699.00,-10%,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-vision-arctic-pro-full-tower-eatx-case-white-en45172.html
2025-05-20,Xigmatek Vision Pro Full-Tower EATX Case - Black | EN45158,,599.0,675.00,-12%,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-vision-pro-full-tower-eatx-case-black-en45158.html
2025-05-20,SilverStone 5U Rackmount Server Chassis - Black | SST-RM51,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/silverstone-5u-rackmount-server-chassis-black-sst-rm51.html
2025-05-20,MONTECH KING 65 PRO Mid-Tower ATX Gaming Case - White | KING-65-PRO-(W),,375.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-king-65-pro-mid-tower-atx-gaming-case-white-king-65-pro-w.html
2025-05-20,MONTECH KING 65 PRO Mid-Tower ATX Gaming Case - Black | KING-65-PRO-(B),,375.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-king-65-pro-mid-tower-atx-gaming-case-black-king-65-pro-b.html
2025-05-20,Thermaltake The Tower 600 Hydrangea Mid-Tower ATX Gaming Case - Blue | CA-1Z1-00MFWN-00,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-600-hydrangea-mid-tower-atx-gaming-case-blue-ca-1z1-00mfwn-00.html
2025-05-20,Thermaltake The Tower 600 Matcha Mid-Tower ATX Gaming Case - Green | CA-1Z1-00MEWN-00,,630.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-600-matcha-mid-tower-atx-gaming-case-green-ca-1z1-00mewn-00.html
2025-05-20,Thermaltake The Tower 600 Snow Mid-Tower ATX Gaming Case - White | CA-1Z1-00M6WN-00,,630.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-600-snow-mid-tower-atx-gaming-case-white-ca-1z1-00m6wn-00.html
2025-05-20,Thermaltake The Tower 600 Mid-Tower ATX Gaming Case - Black | CA-1Z1-00M1WN-00,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-600-mid-tower-atx-gaming-case-black-ca-1z1-00m1wn-00.html
2025-05-20,Thermaltake The Tower 300 Matcha Plum Micro-Tower Micro-ATX Gaming Case - Gray | CA-1Y4-00SJWN-00,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-300-matcha-plum-micro-tower-micro-atx-gaming-case-gray-ca-1y4-00sjwn-00.html
